coop_cost,trial_id,Step,Behavior,Count,Prevalence,migration_rate
0,1,40,Cooperate,323,0.8075,0
0,2,40,Cooperate,254,0.635,0
0,3,40,Cooperate,309,0.7725,0
0,4,40,Cooperate,282,0.705,0
0,5,40,Cooperate,322,0.805,0
0,6,40,Cooperate,322,0.805,0
0,7,40,Cooperate,331,0.8275,0
0,8,40,Cooperate,322,0.805,0
0,9,40,Cooperate,307,0.7675,0
0,10,40,Cooperate,324,0.81,0
0,11,40,Cooperate,294,0.735,0
0,12,40,Cooperate,284,0.71,0
0,13,40,Cooperate,295,0.7375,0
0,14,40,Cooperate,299,0.7475,0
0,15,40,Cooperate,298,0.745,0
0,16,40,Cooperate,295,0.7375,0
0,17,40,Cooperate,202,0.505,0
0,18,40,Cooperate,295,0.7375,0
0,19,40,Cooperate,320,0.8,0
0,20,40,Cooperate,298,0.745,0
0.1,21,40,Cooperate,289,0.7225,0
0.1,22,40,Cooperate,274,0.685,0
0.1,23,40,Cooperate,243,0.6075,0
0.1,24,40,Cooperate,278,0.695,0
0.1,25,40,Cooperate,314,0.785,0
0.1,26,40,Cooperate,272,0.68,0
0.1,27,40,Cooperate,304,0.76,0
0.1,28,40,Cooperate,262,0.655,0
0.1,29,40,Cooperate,312,0.78,0
0.1,30,40,Cooperate,285,0.7125,0
0.1,31,40,Cooperate,299,0.7475,0
0.1,32,40,Cooperate,319,0.7975,0
0.1,33,40,Cooperate,298,0.745,0
0.1,34,40,Cooperate,324,0.81,0
0.1,35,40,Cooperate,299,0.7475,0
0.1,36,40,Cooperate,309,0.7725,0
0.1,37,40,Cooperate,298,0.745,0
0.1,38,40,Cooperate,303,0.7575,0
0.1,39,40,Cooperate,298,0.745,0
0.1,40,40,Cooperate,286,0.715,0
0.2,41,40,Cooperate,296,0.74,0
0.2,42,40,Cooperate,311,0.7775,0
0.2,43,40,Cooperate,145,0.3625,0
0.2,44,40,Cooperate,254,0.635,0
0.2,45,40,Cooperate,283,0.7075,0
0.2,46,40,Cooperate,331,0.8275,0
0.2,47,40,Cooperate,320,0.8,0
0.2,48,40,Cooperate,323,0.8075,0
0.2,49,40,Cooperate,301,0.7525,0
0.2,50,40,Cooperate,288,0.72,0
0.2,51,40,Cooperate,328,0.82,0
0.2,52,40,Cooperate,310,0.775,0
0.2,53,40,Cooperate,73,0.1825,0
0.2,54,40,Cooperate,287,0.7175,0
0.2,55,40,Cooperate,322,0.805,0
0.2,56,40,Cooperate,304,0.76,0
0.2,57,40,Cooperate,318,0.795,0
0.2,58,40,Cooperate,321,0.8025,0
0.2,59,40,Cooperate,317,0.7925,0
0.2,60,40,Cooperate,296,0.74,0
0.245,61,40,Cooperate,282,0.705,0
0.245,62,40,Cooperate,325,0.8125,0
0.245,63,40,Cooperate,255,0.6375,0
0.245,64,40,Cooperate,243,0.6075,0
0.245,65,40,Cooperate,302,0.755,0
0.245,66,40,Cooperate,325,0.8125,0
0.245,67,40,Cooperate,262,0.655,0
0.245,68,40,Cooperate,305,0.7625,0
0.245,69,40,Cooperate,269,0.6725,0
0.245,70,40,Cooperate,258,0.645,0
0.245,71,40,Cooperate,291,0.7275,0
0.245,72,40,Cooperate,216,0.54,0
0.245,73,40,Cooperate,273,0.6825,0
0.245,74,40,Cooperate,343,0.8575,0
0.245,75,40,Cooperate,278,0.695,0
0.245,76,40,Cooperate,340,0.85,0
0.245,77,40,Cooperate,286,0.715,0
0.245,78,40,Cooperate,307,0.7675,0
0.245,79,40,Cooperate,259,0.6475,0
0.245,80,40,Cooperate,345,0.8625,0
0.24999,81,40,Cooperate,328,0.82,0
0.24999,82,40,Cooperate,249,0.6225,0
0.24999,83,40,Cooperate,297,0.7425,0
0.24999,84,40,Cooperate,325,0.8125,0
0.24999,85,40,Cooperate,344,0.86,0
0.24999,86,40,Cooperate,258,0.645,0
0.24999,87,40,Cooperate,157,0.3925,0
0.24999,88,40,Cooperate,287,0.7175,0
0.24999,89,40,Cooperate,288,0.72,0
0.24999,90,40,Cooperate,265,0.6625,0
0.24999,91,40,Cooperate,352,0.88,0
0.24999,92,40,Cooperate,283,0.7075,0
0.24999,93,40,Cooperate,340,0.85,0
0.24999,94,40,Cooperate,285,0.7125,0
0.24999,95,40,Cooperate,249,0.6225,0
0.24999,96,40,Cooperate,305,0.7625,0
0.24999,97,40,Cooperate,330,0.825,0
0.24999,98,40,Cooperate,334,0.835,0
0.24999,99,40,Cooperate,269,0.6725,0
0.24999,100,40,Cooperate,312,0.78,0
0.25,101,40,Cooperate,18,0.045,0
0.25,102,40,Cooperate,4,0.01,0
0.25,103,40,Cooperate,17,0.0425,0
0.25,104,40,Cooperate,36,0.09,0
0.25,105,40,Cooperate,5,0.0125,0
0.25,106,40,Cooperate,26,0.065,0
0.25,107,40,Cooperate,46,0.115,0
0.25,108,40,Cooperate,24,0.06,0
0.25,109,40,Cooperate,5,0.0125,0
0.25,110,40,Cooperate,30,0.075,0
0.25,111,40,Cooperate,18,0.045,0
0.25,112,40,Cooperate,24,0.06,0
0.25,113,40,Cooperate,16,0.04,0
0.25,114,40,Cooperate,36,0.09,0
0.25,115,40,Cooperate,6,0.015,0
0.25,116,40,Cooperate,37,0.0925,0
0.25,117,40,Cooperate,15,0.0375,0
0.25,118,40,Cooperate,14,0.035,0
0.25,119,40,Cooperate,40,0.1,0
0.25,120,40,Cooperate,22,0.055,0
0.3,121,40,Cooperate,14,0.035,0
0.3,122,40,Cooperate,5,0.0125,0
0.3,123,40,Cooperate,13,0.0325,0
0.3,124,40,Cooperate,12,0.03,0
0.3,125,40,Cooperate,4,0.01,0
0.3,126,40,Cooperate,19,0.0475,0
0.3,127,40,Cooperate,4,0.01,0
0.3,128,40,Cooperate,18,0.045,0
0.3,129,40,Cooperate,29,0.0725,0
0.3,130,2,Cooperate,3,0.0075,0
0.3,131,40,Cooperate,12,0.03,0
0.3,132,40,Cooperate,16,0.04,0
0.3,133,2,Cooperate,3,0.0075,0
0.3,134,40,Cooperate,5,0.0125,0
0.3,135,40,Cooperate,17,0.0425,0
0.3,136,40,Cooperate,11,0.0275,0
0.3,137,40,Cooperate,12,0.03,0
0.3,138,40,Cooperate,4,0.01,0
0.3,139,40,Cooperate,10,0.025,0
0.3,140,40,Cooperate,10,0.025,0
